,RMSE,lags,params,mean_squared_error,mean_absolute_error,learning_rate,max_depth,n_estimators
10,32.57612869875146,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 200}",1061.2041609976184,28.381235832872836,0.35,7.0,200.0
29,32.58258940387321,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 300}",1061.6251322613907,28.42235869516682,0.35,10.0,300.0
53,32.626009520747566,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 300}",1064.4564972479109,28.306993793051436,0.35,5.0,300.0
11,32.63225290145336,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 300}",1064.8639294244115,28.456636916659182,0.35,7.0,300.0
51,32.685934330067575,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 100}",1068.3703030294898,28.35624665347796,0.35,5.0,100.0
14,32.77041180626079,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 300}",1073.8998899519163,28.624231666016783,0.35,10.0,300.0
13,32.772667889905684,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 200}",1074.0477606220552,28.624234338718143,0.35,10.0,200.0
52,32.792880433586774,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 200}",1075.3730071315183,28.511306737700686,0.35,5.0,200.0
12,32.827867045484574,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 100}",1077.6688547560123,28.66752088937186,0.35,10.0,100.0
56,32.83892026801852,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 300}",1078.3946843692777,28.68929517274521,0.35,7.0,300.0
55,32.845843690357626,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 200}",1078.849447731406,28.689660380450082,0.35,7.0,200.0
54,32.889974161753024,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 100}",1081.7504003607814,28.744007875086545,0.35,7.0,100.0
44,32.912360441705765,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 300}",1083.2234698447587,28.7803910656639,0.35,10.0,300.0
43,32.95102714296703,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 200}",1085.7701897765496,28.81484012026298,0.35,10.0,200.0
58,32.954786536255135,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 200}",1086.0179556501425,28.83948637854175,0.35,10.0,200.0
40,32.955478991650374,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 200}",1086.0635955691093,28.820063344935622,0.35,7.0,200.0
41,32.95603931127673,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 300}",1086.1005270864173,28.814651471158253,0.35,7.0,300.0
42,32.989376253219966,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 100}",1088.2989455765132,28.862914393511605,0.35,10.0,100.0
59,32.995047850134775,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 300}",1088.6731826326834,28.89077936768047,0.35,10.0,300.0
57,33.00476298678759,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 100}",1089.3143798140243,28.872978677590186,0.35,10.0,100.0
39,33.03432283456065,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 100}",1091.2664851379752,28.891034349078677,0.35,7.0,100.0
